lado_rebatimento, lado_arremesso, peso_jogador, altura_jogador, pais_origem
Direito, None, 63.56, 170.18, USA
None, None, 68.1, 172.72, USA
None, None, 68.1, 170.18, USA
None, None, 65.83, 170.18, USA
Direito, Direito, 63.56, 165.1, USA
Esquerdo, Esquerdo, 70.37, 172.72, USA
Direito, Esquerdo, 79.45, 180.34, USA
None, None, 70.37, 170.18, USA
None, None, None, None, USA
Direito, Direito, 69.46, 172.72, USA
None, None, 65.83, 175.26, USA
None, None, 72.64, 177.8, USA
None, None, None, None, USA
None, None, 70.37, 172.72, USA
None, None, 72.19, 167.64, USA
None, None, 68.1, 167.64, USA
Direito, Direito, 65.83, 172.72, USA
None, None, 66.28, 170.18, USA
Direito, Direito, 77.18, 185.42, USA
Direito, Direito, 76.27, 170.18, Ireland
Direito, None, 68.1, 172.72, USA
Direito, Direito, 77.18, 175.26, USA
Direito, Direito, 78.09, 182.88, USA
None, None, 57.2, 175.26, USA
Direito, Direito, 59.02, 162.56, USA
Direito, Direito, 72.64, 177.8, USA
None, None, 79.0, 185.42, USA
None, None, None, None, USA
None, None, 77.63, 175.26, USA
None, None, 67.19, 170.18, USA
Esquerdo, Esquerdo, 64.47, 170.18, United Kingdom
Direito, Direito, 68.1, 175.26, USA
None, None, 63.56, 167.64, USA
Direito, Direito, 64.92, 175.26, USA
Direito, Direito, 71.28, 175.26, United Kingdom
None, None, 66.74, 172.72, USA
Direito, Direito, 65.83, 172.72, USA
Esquerdo, Esquerdo, 72.64, 172.72, CAN
Direito, Direito, 103.06, 182.88, USA
Direito, Direito, 74.46, 175.26, USA
Direito, Direito, 74.46, 170.18, USA
Direito, Esquerdo, 81.72, 172.72, USA
Direito, Direito, 68.1, 175.26, USA
None, None, 63.56, 167.64, USA
None, None, 71.73, 172.72, USA
Direito, Direito, 73.09, 172.72, USA
Direito, None, 79.45, 180.34, USA
Direito, None, 69.01, 170.18, Ireland
Esquerdo, Esquerdo, 64.47, 170.18, USA
Direito, Direito, 73.55, 175.26, USA
Direito, None, 68.1, 172.72, USA
None, None, 75.36, 175.26, USA
Direito, None, 79.9, 175.26, USA
Direito, None, 72.64, 185.42, USA
None, None, 71.28, 175.26, USA
Direito, Direito, 72.64, 175.26, USA
Direito, None, 63.56, 170.18, USA
None, None, 62.65, 172.72, USA
Esquerdo, Direito, 72.64, 175.26, USA
Esquerdo, Esquerdo, 71.73, 172.72, USA
Direito, Direito, 62.65, 170.18, USA
Direito, Direito, 72.64, 165.1, United Kingdom
None, None, 69.92, 172.72, Cuba
None, None, 79.45, 175.26, USA
Esquerdo, Esquerdo, 74.91, 175.26, USA
Direito, Direito, 76.73, 172.72, USA
None, None, None, None, None
Direito, None, 65.83, 175.26, USA
Direito, None, 67.65, 175.26, USA
None, None, 74.91, 182.88, USA
None, None, 68.1, 177.8, USA
Direito, Direito, 74.91, 175.26, USA
Direito, Direito, 73.09, 160.02, USA
Esquerdo, Esquerdo, 74.91, 175.26, USA
None, None, 74.91, 177.8, USA
None, None, 70.82, 175.26, USA
Direito, None, 74.91, 182.88, Netherlands
Esquerdo, None, 64.92, 170.18, USA
Direito, Direito, 78.09, 175.26, USA
Esquerdo, Esquerdo, 70.37, 167.64, United Kingdom
None, None, 77.18, 175.26, USA
Direito, None, 68.1, 175.26, USA
None, None, None, None, USA
None, None, 74.91, 180.34, USA
None, None, 80.81, 180.34, Germany
None, None, 63.56, 167.64, USA
Direito, Direito, 80.36, 185.42, USA
Direito, Direito, 63.56, 167.64, USA
Direito, Direito, 62.2, 167.64, USA
None, None, None, 167.64, USA
None, None, 73.55, 182.88, USA
Direito, Esquerdo, 77.63, 172.72, United Kingdom
None, None, None, None, USA
Esquerdo, Direito, 70.82, 172.72, Ireland
Direito, Direito, 71.73, 182.88, USA
None, None, 77.18, 177.8, USA
None, None, 81.72, 182.88, USA
Direito, None, None, None, USA
None, None, 72.64, 182.88, USA
None, None, 72.64, 187.96, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, 68.1, 170.18, USA
None, None, None, None, USA
Esquerdo, Esquerdo, 78.09, 175.26, Ireland
None, None, 67.19, 172.72, USA
None, Direito, 65.38, 165.1, USA
Direito, Direito, 76.73, 177.8, USA
Direito, Direito, 68.1, 167.64, USA
None, None, 63.56, 167.64, USA
None, None, None, None, USA
Direito, None, 68.1, 170.18, USA
None, None, None, None, USA
None, None, 73.55, 172.72, USA
None, None, None, None, USA
None, None, 70.37, 165.1, USA
None, Esquerdo, 72.64, 170.18, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 78.54, 175.26, USA
None, None, 81.72, 170.18, USA
None, None, 113.5, None, USA
Direito, Direito, 54.48, 175.26, USA
Direito, Direito, 84.44, 185.42, USA
Direito, Direito, 77.18, 177.8, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 83.99, 172.72, USA
None, None, 67.19, 165.1, USA
Direito, Direito, 88.08, 170.18, USA
None, None, 67.19, 170.18, USA
Direito, Esquerdo, 78.09, 175.26, USA
None, None, 63.56, 175.26, USA
None, None, None, None, USA
None, None, None, 162.56, USA
None, None, 83.54, 172.72, USA
None, None, None, None, USA
None, None, 81.27, 165.1, USA
None, None, None, None, USA
Direito, Direito, 71.73, 175.26, USA
None, None, 78.09, 180.34, USA
Direito, Direito, 85.81, 180.34, USA
None, None, None, 167.64, None
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, 68.1, 177.8, USA
None, None, None, None, Germany
None, None, 65.83, 175.26, USA
None, None, 59.02, 170.18, USA
None, None, 80.81, 170.18, USA
Esquerdo, Esquerdo, 66.28, 177.8, Germany
Direito, Direito, 88.53, 182.88, USA
Direito, Direito, 79.0, 172.72, USA
None, None, None, None, USA
None, None, None, None, None
None, None, None, None, USA
None, None, None, None, None
Direito, Esquerdo, 65.83, 167.64, USA
None, None, None, 182.88, United Kingdom
None, None, None, None, None
None, None, None, None, USA
None, None, None, None, USA
None, None, 76.73, 177.8, Germany
None, None, 62.2, 175.26, USA
None, None, None, None, None
None, None, None, None, None
Direito, Direito, 72.64, 182.88, USA
None, None, None, None, USA
Direito, Direito, 82.63, 177.8, USA
None, None, None, None, United Kingdom
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, None
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, 59.93, 167.64, USA
None, None, None, None, USA
Direito, Direito, 65.83, 170.18, USA
None, None, None, None, None
None, None, 72.64, 167.64, USA
Direito, Direito, 79.45, 180.34, USA
Direito, Direito, 71.73, 172.72, USA
None, None, None, None, None
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, Ireland
Direito, Esquerdo, None, None, USA
None, None, None, None, Ireland
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, 77.18, 180.34, USA
None, None, 61.29, 175.26, USA
Direito, Direito, 83.54, 180.34, USA
None, None, None, None, USA
None, None, 74.91, 167.64, USA
None, None, None, None, USA
Direito, Direito, 65.38, 177.8, USA
Direito, Direito, 77.18, 182.88, USA
None, None, 68.1, 170.18, USA
None, None, None, None, USA
Direito, Direito, 72.64, 182.88, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, None, 77.18, 180.34, USA
Direito, Direito, 72.64, 170.18, Ireland
Direito, None, 71.28, 170.18, USA
Direito, Direito, 69.46, 175.26, United Kingdom
None, None, 67.19, 170.18, USA
None, None, None, None, USA
Direito, Direito, 81.72, 170.18, USA
Direito, Esquerdo, 74.91, 175.26, USA
None, None, None, None, USA
None, None, None, None, None
None, None, None, None, USA
None, None, 74.91, 175.26, USA
None, None, None, None, None
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, None
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, None
None, None, None, None, None
None, None, None, None, USA
None, None, 63.56, 172.72, USA
None, None, None, None, USA
Direito, None, 72.64, 167.64, USA
None, None, None, None, USA
None, None, 61.74, 167.64, USA
None, None, 81.72, None, USA
None, None, 79.45, 180.34, USA
Direito, Direito, 79.45, 170.18, USA
Direito, Direito, 74.46, 172.72, USA
Direito, Direito, 66.28, 170.18, USA
None, None, None, None, USA
Direito, Direito, 68.1, 170.18, USA
Direito, Direito, 71.73, 170.18, USA
None, None, 70.37, 170.18, USA
None, None, None, None, USA
None, None, 70.37, 175.26, USA
Direito, None, 77.18, 175.26, USA
None, None, 81.72, 180.34, United Kingdom
Esquerdo, Direito, 76.27, 172.72, USA
Direito, Direito, 72.19, 170.18, USA
Direito, Direito, 68.1, 172.72, USA
Direito, Direito, 79.45, None, USA
None, None, 61.29, 165.1, Portugal
Direito, Direito, 87.17, 182.88, USA
None, None, None, None, France
None, None, None, None, USA
None, None, None, None, USA
None, None, 65.83, 170.18, USA
None, None, None, None, None
None, None, None, None, USA
Direito, Direito, 74.46, 175.26, USA
Esquerdo, Esquerdo, None, None, USA
Direito, Direito, 72.64, 177.8, USA
Direito, Direito, 91.71, 180.34, USA
None, Direito, 68.1, 170.18, USA
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, 65.83, 170.18, USA
Direito, Direito, None, None, USA
Direito, Direito, 75.36, 170.18, USA
None, None, None, None, USA
Direito, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 81.72, 182.88, USA
None, None, None, None, USA
None, None, 77.18, 175.26, USA
Direito, Direito, 68.55, 170.18, USA
None, None, 84.9, 182.88, USA
None, None, None, None, USA
None, None, 73.55, 177.8, USA
Esquerdo, Esquerdo, 73.55, None, USA
None, None, None, None, USA
Direito, Direito, 84.44, 177.8, USA
None, None, 65.83, 170.18, USA
Direito, Direito, 82.63, 175.26, USA
None, None, None, None, USA
Direito, Direito, 86.26, 172.72, USA
None, None, 70.37, 172.72, USA
Direito, None, 74.91, 180.34, USA
None, None, None, None, USA
None, None, None, 180.34, USA
None, None, None, None, None
None, None, 79.45, 177.8, USA
None, None, None, None, USA
Direito, None, None, None, None
None, None, None, None, USA
Direito, Direito, 74.91, 180.34, USA
Direito, None, 65.83, 167.64, USA
None, None, 81.72, 175.26, USA
None, None, None, None, USA
Direito, Direito, 63.56, 175.26, USA
None, None, None, None, USA
Direito, Direito, 68.1, 175.26, USA
None, None, None, None, USA
Direito, Direito, 74.91, 180.34, USA
None, None, None, None, USA
None, None, None, None, None
None, None, 73.55, 172.72, None
