lado_rebatimento, lado_arremesso, peso_jogador, altura_jogador, pais_origem
Direito, , 63.56, 170.18, USA
, , 68.1, 172.72, USA
, , 68.1, 170.18, USA
, , 65.83, 170.18, USA
Direito, Direito, 63.56, 165.1, USA
Esquerdo, Esquerdo, 70.37, 172.72, USA
Direito, Esquerdo, 79.45, 180.34, USA
, , 70.37, 170.18, USA
, , , , USA
Direito, Direito, 69.46, 172.72, USA
, , 65.83, 175.26, USA
, , 72.64, 177.8, USA
, , , , USA
, , 70.37, 172.72, USA
, , 72.19, 167.64, USA
, , 68.1, 167.64, USA
Direito, Direito, 65.83, 172.72, USA
, , 66.28, 170.18, USA
Direito, Direito, 77.18, 185.42, USA
Direito, Direito, 76.27, 170.18, Ireland
Direito, , 68.1, 172.72, USA
Direito, Direito, 77.18, 175.26, USA
Direito, Direito, 78.09, 182.88, USA
, , 57.2, 175.26, USA
Direito, Direito, 59.02, 162.56, USA
Direito, Direito, 72.64, 177.8, USA
, , 79.0, 185.42, USA
, , , , USA
, , 77.63, 175.26, USA
, , 67.19, 170.18, USA
Esquerdo, Esquerdo, 64.47, 170.18, United Kingdom
Direito, Direito, 68.1, 175.26, USA
, , 63.56, 167.64, USA
Direito, Direito, 64.92, 175.26, USA
Direito, Direito, 71.28, 175.26, United Kingdom
, , 66.74, 172.72, USA
Direito, Direito, 65.83, 172.72, USA
Esquerdo, Esquerdo, 72.64, 172.72, CAN
Direito, Direito, 103.06, 182.88, USA
Direito, Direito, 74.46, 175.26, USA
Direito, Direito, 74.46, 170.18, USA
Direito, Esquerdo, 81.72, 172.72, USA
Direito, Direito, 68.1, 175.26, USA
, , 63.56, 167.64, USA
, , 71.73, 172.72, USA
Direito, Direito, 73.09, 172.72, USA
Direito, , 79.45, 180.34, USA
Direito, , 69.01, 170.18, Ireland
Esquerdo, Esquerdo, 64.47, 170.18, USA
Direito, Direito, 73.55, 175.26, USA
Direito, , 68.1, 172.72, USA
, , 75.36, 175.26, USA
Direito, , 79.9, 175.26, USA
Direito, , 72.64, 185.42, USA
, , 71.28, 175.26, USA
Direito, Direito, 72.64, 175.26, USA
Direito, , 63.56, 170.18, USA
, , 62.65, 172.72, USA
Esquerdo, Direito, 72.64, 175.26, USA
Esquerdo, Esquerdo, 71.73, 172.72, USA
Direito, Direito, 62.65, 170.18, USA
Direito, Direito, 72.64, 165.1, United Kingdom
, , 69.92, 172.72, Cuba
, , 79.45, 175.26, USA
Esquerdo, Esquerdo, 74.91, 175.26, USA
Direito, Direito, 76.73, 172.72, USA
, , , , 
Direito, , 65.83, 175.26, USA
Direito, , 67.65, 175.26, USA
, , 74.91, 182.88, USA
, , 68.1, 177.8, USA
Direito, Direito, 74.91, 175.26, USA
Direito, Direito, 73.09, 160.02, USA
Esquerdo, Esquerdo, 74.91, 175.26, USA
, , 74.91, 177.8, USA
, , 70.82, 175.26, USA
Direito, , 74.91, 182.88, Netherlands
Esquerdo, , 64.92, 170.18, USA
Direito, Direito, 78.09, 175.26, USA
Esquerdo, Esquerdo, 70.37, 167.64, United Kingdom
, , 77.18, 175.26, USA
Direito, , 68.1, 175.26, USA
, , , , USA
, , 74.91, 180.34, USA
, , 80.81, 180.34, Germany
, , 63.56, 167.64, USA
Direito, Direito, 80.36, 185.42, USA
Direito, Direito, 63.56, 167.64, USA
Direito, Direito, 62.2, 167.64, USA
, , , 167.64, USA
, , 73.55, 182.88, USA
Direito, Esquerdo, 77.63, 172.72, United Kingdom
, , , , USA
Esquerdo, Direito, 70.82, 172.72, Ireland
Direito, Direito, 71.73, 182.88, USA
, , 77.18, 177.8, USA
, , 81.72, 182.88, USA
Direito, , , , USA
, , 72.64, 182.88, USA
, , 72.64, 187.96, USA
, , , , USA
, , , , USA
, , 68.1, 170.18, USA
, , , , USA
Esquerdo, Esquerdo, 78.09, 175.26, Ireland
, , 67.19, 172.72, USA
, Direito, 65.38, 165.1, USA
